哽	kã˦˦˥$
唁	ȵiẽ˨˨˧$
唆	sɷu˦˦˥$
唇	zeŋ˨˨˧$
唐	dɔ̃˨˨˧$
唔	n̩˨˨˧$
唠	lɔ˨˨˧$
唤	huœ̃˦˦˥$
售	ʣɤ˨˨˧$
唯	vi˨˨˧$
唱	ʦʰɔ̃˦˦˥$
唾	tʰu˦˦˥$
啃	kʰeŋ˦˦˥$
啄	ʦoʔ˥$
啊	a˦˦˥$
問	meŋ˨˨˧$
啕	dɔ˨˨˧$
啞	o˦˦˥$
啟	ʨʰi˦˦˥$
啣	ɦiẽ˨˨˧$
啥	sa˦˦˥$
啦	la˦˦˥$
啬	sɤʔ˥$
啸	ɕiɔ˦˦˥$
啼	di˨˨˧$
喃	nẽ˨˨˧$
善	zẽ˨˨˧$
喆	ʦeʔ˥$
喉	ɦɤ˨˨˧$
喊	hæ̃˦˦˥$
喘	ʦʰẽ˦˦˥$
喚	huœ̃˦˦˥$
喜	ɕi˦˦˥$
喝	haʔ˥$
喧	ɕyœ̃˦˦˥$
喪	sɔ̃˦˦˥$
喬	ʥiɔ˨˨˧$
單	tæ̃˦˦˥$
喲	iaʔ˥$
喷	pʰeŋ˦˦˥$
喻	ɦy˨˨˧$
嗅	ɕiɤ˦˦˥$
嗆	ʨʰiã˦˦˥$
嗇	sɤʔ˥$
嗉	sʮ˦˦˥$
嗑	kʰeʔ˥$
嗓	sɔ̃˦˦˥$
嗡	oŋ˦˦˥$
嗣	zɿ˨˨˧$
嗤	ʦʰɿ˦˦˥$
嗳	e˦˦˥$
嗷	ŋɔ˨˨˧$
嗽	sɤ˦˦˥$
嘆	tʰæ̃˦˦˥$
嘈	ʣɔ˨˨˧$
嘉	ko˦˦˥$
嘏	ku˦˦˥$
嘔	ɤ˦˦˥$
嘗	ʣɔ̃˨˨˧$
嘘	ɕy˦˦˥$
嘩	hua˦˦˥$
嘮	lɔ˨˨˧$
嘯	ɕiɔ˦˦˥$
嘱	ʦoʔ˥$
嘲	ʣɔ˨˨˧$
嘴	ʨi˦˦˥$
噎	ieʔ˥$
噓	ɕy˦˦˥$
噩	ŋoʔ˨$
噪	ʦʰɔ˦˦˥$
噬	zɿ˨˨˧$
噯	e˦˦˥$
噱	ɕyoʔ˥$
噲	kʰue˦˦˥$
噴	pʰeŋ˦˦˥$
噹	tɔ̃˦˦˥$
嚀	ȵieŋ˨˨˧$
嚃	tʰa˦˦˥$
嚇	haʔ˥$
嚣	ɕiɔ˦˦˥$
嚥	iẽ˦˦˥$
嚨	loŋ˨˨˧$
嚮	ɕiã˦˦˥$
嚴	ȵiẽ˨˨˧$
嚼	ɦiaʔ˨$
囂	ɕiɔ˦˦˥$
囊	nɔ̃˨˨˧$
囑	ʦoʔ˥$
囚	ʥiɤ˨˨˧$
四	sɿ˦˦˥$
回	ɦue˨˨˧$
因	ieŋ˦˦˥$
囡	nœ̃˨˨˧$
团	dœ̃˨˨˧$
囤	dueŋ˨˨˧$
囥	kʰɔ̃˦˦˥$
囪	ʦʰoŋ˦˦˥$
园	ɦyœ̃˨˨˧$
困	kʰueŋ˦˦˥$
囱	ʦʰoŋ˦˦˥$
围	ɦue˨˨˧$
固	ku˦˦˥$
国	koʔ˥$
图	du˨˨˧$
