㔢	ʨiæʔ˥$
咎	giɤu˨˩˦$
咏	yoŋ˧˨˥$
咐	fu˥$
咒	ʨiɤu˥$
咙	loŋ˨˨˦$
咚	toŋ˧˧˦$
咛	niŋ˨˨˦$
咤	ʦo˥$
咨	ʦɿ˧˧˦$
咬	ŋau˨˩˦$
咱	ʦa˧˧˦$
咳	kʰæʔ˥$
咷	dau˨˨˦$
咸	ɦᴇ˨˨˦$
咽	iæʔ˥$
哀	ei˧˧˦$
品	pʰiŋ˧˨˥$
哂	ɕiŋ˧˨˥$
哄	hoŋ˧˨˥$
响	hiaŋ˧˨˥$
哑	ia˧˨˥$
哕	yəʔ˥$
哗	ɦua˨˨˦$
員	ɦyø˨˨˦$
哥	kou˧˧˦$
哨	sau˥$
哪	lo˨˩˦$
哭	kʰoʔ˥$
哲	ʨiæʔ˥$
哺	bu˧˥$
哼	haŋ˧˧˦$
哽	kaŋ˧˨˥$
唁	ŋᴇ˧˥$
唆	so˧˧˦$
唇	ʑyoŋ˨˨˦$
唉	ei˧˧˦$
唐	dɔ̃˨˨˦$
唔	ŋ˧˥$
唠	lau˨˨˦$
唤	ɦuø˧˥$
售	ʑiɤu˧˥$
唯	vi˨˨˦$
唱	ʦʰɔ̃˥$
唳	li˧˥$
唾	tʰo˥$
啃	kʰəŋ˧˨˥$
啄	toʔ˥$
商	sɔ̃˧˧˦$
啊	ɦa˨˨˦$
問	məŋ˧˥$
啖	dᴇ˧˥$
啜	ʨʰyuʔ˥$
啞	ia˧˨˥$
啟	kʰi˧˨˥$
啮	niæʔ˨˧$
啰	lo˨˨˦$
啸	ɕiau˥$
啼	di˨˨˦$
啾	ʨiɤu˧˧˦$
喀	kʰaʔ˥$
喂	uei˥$
喃	nᴇ˨˨˦$
善	ʑiᴇ˨˩˦$
喇	læʔ˨˧$
喈	ka˧˧˦$
喉	ɦɤu˨˨˦$
喊	hᴇ˧˨˥$
喋	diæʔ˨˧$
喑	iŋ˧˧˦$
喘	ʦʰuø˧˧˦$
喙	huei˥$
喚	ɦuø˧˥$
喜	hi˧˨˥$
喝	hæʔ˥$
喟	kʰuei˥$
喧	hyø˧˧˦$
喪	sɔ̃˧˧˦$
喫	ʨʰiɪʔ˥$
喬	giau˨˨˦$
單	tᴇ˧˧˦$
喷	pʰəŋ˧˧˦$
喻	ɦy˧˥$
喾	kʰuɔʔ˥$
嗅	hiɤu˥$
嗉	su˥$
嗓	sɔ̃˧˨˥$
嗔	ʨʰiŋ˧˧˦$
嗚	u˧˧˦$
嗟	ʨia˧˧˦$
嗡	oŋ˧˧˦$
嗣	zɿ˧˥$
嗤	ʦʰɿ˧˧˦$
嗲	tia˧˧˦$
嗷	ŋau˨˨˦$
嗽	sɤu˥$
嗾	sɤu˧˨˥$
嘈	zau˨˨˦$
嘉	kia˧˧˦$
嘔	ɤu˧˨˥$
嘗	zɔ̃˨˨˦$
嘘	hy˧˧˦$
嘩	ɦua˨˨˦$
嘮	lau˨˨˦$
嘯	ɕiau˥$
嘱	ʨyuʔ˥$
嘴	ʦei˧˨˥$
嘶	sɿ˧˧˦$
嘸	m˨˨˦$
嘻	hi˧˧˦$
噍	ʑiau˧˥$
噎	iæʔ˥$
噓	hy˧˧˦$
噤	giŋ˨˩˦$
噦	yəʔ˥$
器	kʰi˥$
噴	pʰəŋ˧˧˦$
嚀	niŋ˨˨˦$
嚇	haʔ˥$
嚏	tʰi˥$
嚙	niæʔ˨˧$
嚣	hiau˧˧˦$
嚨	loŋ˨˨˦$
嚭	pʰi˧˨˥$
嚮	hiaŋ˥$
嚴	niᴇ˨˨˦$
嚷	ʑiaŋ˨˩˦$
嚼	ʨiaʔ˥$
囂	hiau˧˧˦$
囈	ni˧˥$
囊	nɔ̃˨˨˦$
囑	ʨyuʔ˥$
囚	ʥiɤu˨˨˦$
四	sɿ˥$
回	ɦuei˨˨˦$
囟	ɕiŋ˥$
因	iŋ˧˧˦$
囡	no˨˩˦$
团	duø˨˨˦$
囤	dəŋ˨˩˦$
囥	kʰɔ̃˥$
囪	ʨʰyoŋ˥$
园	ɦyø˨˨˦$
困	kʰuəŋ˥$
囱	ʨʰyoŋ˥$
围	ɦuei˨˨˦$
囹	liŋ˨˨˦$
固	ku˥$
国	koʔ˥$
图	du˨˨˦$
囿	ɦiɤu˧˥$
圂	ɦuəŋ˧˥$
圃	pu˧˨˥$
圆	ɦyø˨˨˦$
圈	kyø˥$
國	koʔ˥$
圍	ɦuei˨˨˦$
園	ɦyø˨˨˦$
圓	ɦyø˨˨˦$
圖	du˨˨˦$
團	duø˨˨˦$
圜	ɦyø˨˨˦$
土	tʰu˧˨˥$
圣	ɕiŋ˥$
在	zei˨˩˦$
圬	u˧˧˦$
圭	kuei˧˧˦$
圯	ɦi˨˨˦$
地	di˧˥$
圹	kʰuɔ̃˥$
场	ʥiaŋ˨˨˦$
圻	gi˨˨˦$
址	ʦɿ˧˨˥$
坂	pᴇ˧˨˥$
均	kyoŋ˧˧˦$
坊	fɔ̃˧˧˦$
坌	gɔ̃˨˩˦$
坍	tʰᴇ˧˧˦$
坎	kʰᴇ˧˨˥$
坏	ɦua˧˥$
坐	zo˨˩˦$
坑	kʰaŋ˧˧˦$
坒	bi˨˨˦$
块	kʰuei˥$
坚	kiᴇ˧˧˦$
坛	dᴇ˨˨˦$
坝	pa˥$
坞	u˧˨˥$
坟	vəŋ˨˨˦$
坠	ʣei˧˥$
坡	pou˧˧˦$
坤	kʰuəŋ˧˧˦$
坦	tʰᴇ˧˨˥$
坩	kᴇ˧˧˦$
坪	biŋ˨˨˦$
坯	pʰei˧˧˦$
坳	au˧˧˦$
坼	ʦʰaʔ˥$
坿	vu˧˥$
垂	ʑy˨˨˦$
垄	loŋ˨˩˦$
垆	lu˨˨˦$
型	ɦiŋ˨˨˦$
垒	lei˨˩˦$
垓	kei˧˧˦$
垟	ɦiaŋ˨˨˦$
垠	niŋ˨˨˦$
垢	kɤu˥$
垣	ɦyø˨˨˦$
垤	diæʔ˨˧$
垦	kʰəŋ˧˨˥$
垫	diᴇ˧˥$
垮	kʰua˧˨˥$
埂	kaŋ˧˨˥$
埃	ei˧˧˦$
埋	ma˨˨˦$
城	ʑiŋ˨˨˦$
埙	hyø˧˧˦$
域	ɦuəʔ˨˧$
埠	bu˧˥$
埭	da˧˥$
執	ʨiɪʔ˥$
培	bei˨˨˦$
基	ki˧˧˦$
堂	dɔ̃˨˨˦$
堃	kʰuəŋ˧˧˦$
堅	kiᴇ˧˧˦$
堆	tei˧˧˦$
堇	kiŋ˧˨˥$
堕	do˨˩˦$
堙	iŋ˧˧˦$
堡	pau˧˨˥$
堤	ti˧˧˦$
堪	kʰᴇ˧˧˦$
堯	niau˨˨˦$
堰	iᴇ˥$
報	pau˥$
場	ʥiaŋ˨˨˦$
堵	tu˧˨˥$
堿	kᴇ˧˨˥$
塊	kʰuei˥$
塋	ɦiŋ˨˨˦$
塌	tʰæʔ˥$
塍	ʥiŋ˨˨˦$
塑	su˥$
塔	tʰæʔ˥$
塗	du˨˨˦$
