㮸	soŋ˥$
嫁	ka˦˦˥$
嫂	sɔ˥$
嫖	biɔ˧˩$
嫡	tiəʔ˥$
嫩	nən˩˧$
嬉	ɕi˥˧$
嬌	ʨiɔ˥˧$
嬰	iən˥˧$
嬸	sən˥$
孀	sɑ̃˥˧$
子	ʦɿ˥$
孑	ʨioʔ˥$
孔	kʰoŋ˩˧$
字	zɿ˩˧$
孙	sən˥˧$
孝	hɔ˦˦˥$
孟	mã˦˦˥$
季	ʨi˦˦˥$
孤	ku˥˧$
学	jiaʔ˨$
孩	ɦɛ˧˩$
孫	sən˥˧$
學	jiaʔ˨$
孽	ȵiəʔ˨$
宁	ȵiən˧˩$
宅	zaʔ˨$
守	səɯ˥$
安	ø˥˧$
宋	soŋ˦˦˥$
完	ɦø˧˩$
宏	hoŋ˥˧$
宕	dã˩˧$
宗	ʦoŋ˥˧$
官	kø˥˧$
宙	zəɯ˩˧$
定	diən˩˧$
宛	ø˥$
宜	ȵi˧˩$
宝	pɔ˥$
实	zəʔ˨$
审	sən˥$
客	kʰaʔ˥$
宣	sie˥˧$
室	səʔ˥$
宦	uɛ˦˦˥$
宪	ɕie˩˧$
宫	koŋ˥˧$
宮	koŋ˥˧$
宰	ʦɛ˥$
害	ɦɛ˩˧$
宵	siɔ˥˧$
家	ka˥˧$
容	jioŋ˧˩$
宽	kʰø˥˧$
宾	piən˥˧$
宿	siəɯ˦˦˥$
寂	ziəʔ˨$
寄	ke˦˦˥$
密	miəʔ˨$
寇	kʰəɯ˩˧$
寐	me˩˧$
寒	ɦø˧˩$
寓	ȵy˩˧$
寞	moʔ˨$
察	ʦʰaʔ˥$
寡	ko˥$
寥	liɔ˧˩$
實	zəʔ˨$
寧	ȵiən˧˩$
審	sən˥$
寫	sia˥$
寬	kʰø˥˧$
寶	pɔ˥$
寸	ʦʰən˩˧$
对	te˦˦˥$
寺	zɿ˩˧$
寻	ziən˧˩$
导	dɔ˩˧$
寿	zəɯ˩˧$
封	foŋ˥˧$
射	za˩˧$
将	ʦiã˦˦˥$
將	ʦiã˦˦˥$
專	ʦø˥˧$
尊	ʦən˥˧$
尋	ziən˧˩$
對	te˦˦˥$
導	dɔ˩˧$
小	siɔ˥$
少	sɔ˥$
尔	əl˧˩$
尖	ʦie˥˧$
尘	zən˧˩$
尚	zã˩˧$
尝	zã˧˩$
尤	jiəɯ˧˩$
尬	kɛ˥˧$
就	ziəɯ˩˧$
尸	sɿ˥˧$
尺	ʦʰaʔ˥$
尼	ȵi˧˩$
尽	ziən˩˧$
尾	mi˩˧$
尿	ȵiɔ˥$
