㞘底	toʔ˥ ti˥˧
上燈節	zɑŋ˩˧ ten˧ ʨiəʔ˥
上班	zɑŋ˩˧ pɛ̃˧
上竈	zɑŋ˩˧ ʦɔ˥
上药	zɑŋ˩˧ ɦiɑʔ˨
上菜	zɑŋ˩˧ ʦʰɛ˥
上藥	zɑŋ˩˧ ɦiɑʔ˨
上装	zɑŋ˩˧ ʦʮɑŋ˧
上裝	zɑŋ˩˧ ʦʮɑŋ˧
上訴	zɑŋ˩˧ su˥
上課	zɑŋ˩˧ kʰo˥
上诉	zɑŋ˩˧ su˥
上课	zɑŋ˩˧ kʰo˥
上趟	zɑŋ˩˧ tʰɑŋ˥˧
上軋頭	zɑŋ˩˧ gɑʔ˨ dei
上轧头	zɑŋ˩˧ gɑʔ˨ dei
上門板	zɑŋ˩˧ men˧˩ pɛ̃˥˧
上门板	zɑŋ˩˧ men˧˩ pɛ̃˥˧
上頭	zɑŋ˩˧ dei
上額子	zɑŋ˩˧ ŋɑʔ˨ ʦɿ
上额子	zɑŋ˩˧ ŋɑʔ˨ ʦɿ
上館子	zɑŋ˩˧ kuõ˥˧ ʦɿ
上馆子	zɑŋ˩˧ kuõ˥˧ ʦɿ
下	ɦiɑ˩˧
下三府	ɦiɑ˩˧ sɛ̃˧ fu˥˧
下不落	ɦiɑ˩˧ pəʔ˥ loʔ˨
下个月	ɦiɑ˩˧ koʔ˥ ɦyəʔ˨
下作	ɦiɑ˩˧ ʦoʔ˥
下作胚	ɦiɑ˩˧ ʦoʔ˥ pʰei˧
下個月	ɦiɑ˩˧ koʔ˥ ɦyəʔ˨
下半年	ɦiɑ˩˧ puõ˥˧ niɛ̃˧˩
下半日	ɦiɑ˩˧ puõ˥˧ zəʔ˨
下巴	ɦiɑ˩˧ pɑ˥˧
下底	ɦiɑ˩˧ ti˥˧
下底四点	ɦiɑ˩˧ ti˥˧ sɿ˥ tiɛ̃˥˧
下底四點	ɦiɑ˩˧ ti˥˧ sɿ˥ tiɛ̃˥˧
下棋	ɦiɑ˩˧ ʥi˨˩˧
下毛	ɦiɑ˩˧ mɔ˥˧
下种	ɦiɑ˩˧ ʦoŋ˥˧
下種	ɦiɑ˩˧ ʦoŋ˥˧
下脚	ɦiɑ˩˧ ʨiɑʔ˥
下脚线	ɦiɑ˩˧ ʨiɑʔ˥ ɕiɛ̃˥
下腳	ɦiɑ˩˧ ʨiɑʔ˥
下腳線	ɦiɑ˩˧ ʨiɑʔ˥ ɕiɛ̃˥
