㒼	mũ˨˩˧
三夜桶	sɛ˥˧ ɦia˨˩˧ doŋ˨˩˧
三头六面	sɛ˥˧ dœʏ˨˦ loʔ˩˨ mi˨˩˧
三对六面	sɛ˥˧ tɐɪ˦˦ loʔ˩˨ mi˨˩˧
三對六面	sɛ˥˧ tɐɪ˦˦ loʔ˩˨ mi˨˩˧
三弄四弄	sɛ˥˧ loŋ˨˩˧ sɿ˦˦ loŋ˨˩˧
三搭六桥	sɛ˥˧ tɐʔ˥ loʔ˩˨ ʥio˨˦
三搭六橋	sɛ˥˧ tɐʔ˥ loʔ˩˨ ʥio˨˦
三日三夜	sɛ˥˧ ȵiɪʔ˩˨ sɛ˥˧ ɦia˨˩˧
三日两头	sɛ˥˧ ȵiɪʔ˩˨ liã˨˩˧ dœʏ˨˦
三日兩頭	sɛ˥˧ ȵiɪʔ˩˨ liã˨˩˧ dœʏ˨˦
三时八节	sɛ˥˧ zɿ˨˦ pɐʔ˥ ʨiɪʔ˥
三時八節	sɛ˥˧ zɿ˨˦ pɐʔ˥ ʨiɪʔ˥
三脚六面	sɛ˥˧ ʨiɐʔ˥ loʔ˩˨ mi˨˩˧
三脚猫	sɛ˥˧ ʨiɐʔ˥ mɛ˨˩˧
三腳六面	sɛ˥˧ ʨiɐʔ˥ loʔ˩˨ mi˨˩˧
三腳貓	sɛ˥˧ ʨiɐʔ˥ mɛ˨˩˧
三色	sɛ˥˧ sɐʔ˥
三角眼	sɛ˥˧ koʔ˥ ŋɛ˨˩˧
三隻手	sɛ˥˧ ʦɐʔ˥ ɕiʏ˧˥
三頭六面	sɛ˥˧ dœʏ˨˦ loʔ˩˨ mi˨˩˧
上一𪰻	zɔ̃˨˩˧ iɪʔ˥ ʨʰiã˧˥
上世下代	zɔ̃˨˩˧ ɕi˦˦ ɦo˨˩˧ de˨˩˧
上书	zɔ̃˨˩˧ sʮ˥˧
上半日	zɔ̃˨˩˧ pũ˦˦ ȵiɪʔ˩˨
上半日头	zɔ̃˨˩˧ pũ˦˦ ȵiɪʔ˩˨ dœʏ˨˦
上半日頭	zɔ̃˨˩˧ pũ˦˦ ȵiɪʔ˩˨ dœʏ˨˦
上嘴勿來	zɔ̃˨˩˧ ʦʮ˧˥ vɐʔ˩˨ le˨˦
上嘴勿得	zɔ̃˨˩˧ ʦʮ˧˥ vɐʔ˩˨ tɐʔ˥
上嘴勿来	zɔ̃˨˩˧ ʦʮ˧˥ vɐʔ˩˨ le˨˦
上山袜	zɔ̃˨˩˧ sɛ˥˧ mɐʔ˩˨
上山襪	zɔ̃˨˩˧ sɛ˥˧ mɐʔ˩˨
上念	zɔ̃˨˩˧ ȵi˨˩˧
上念头	zɔ̃˨˩˧ ȵi˨˩˧ dœʏ˨˦
上念頭	zɔ̃˨˩˧ ȵi˨˩˧ dœʏ˨˦
上日	zɔ̃˨˩˧ ȵiɪʔ˩˨
上日子	zɔ̃˨˩˧ ȵiɪʔ˩˨ ʦɿ˧˥
上書	zɔ̃˨˩˧ sʮ˥˧
上末	zɔ̃˨˩˧ mɐʔ˩˨
上末子	zɔ̃˨˩˧ mɐʔ˩˨ ʦɿ˧˥
上梁	zɔ̃˨˩˧ liã˨˦
上横头	zɔ̃˨˩˧ ɦuã˨˩˧ dœʏ˨˦
上橫頭	zɔ̃˨˩˧ ɦuã˨˩˧ dœʏ˨˦
上灯夜	zɔ̃˨˩˧ təŋ˥˧ ɦia˨˩˧
上灰	zɔ̃˨˩˧ huɐɪ˥˧
上点心	zɔ̃˨˩˧ te˥˧ ɕiŋ˥˧
上照	zɔ̃˨˩˧ ʨio˦˦
上燈夜	zɔ̃˨˩˧ təŋ˥˧ ɦia˨˩˧
上爿	zɔ̃˨˩˧ bɛ˨˦
上狗当	zɔ̃˨˩˧ kœʏ˧˥ tɔ̃˥˧
上狗當	zɔ̃˨˩˧ kœʏ˧˥ tɔ̃˥˧
上督落	zɔ̃˨˩˧ toʔ˥ loʔ˩˨
上笃落	zɔ̃˨˩˧ toʔ˥ loʔ˩˨
上篤落	zɔ̃˨˩˧ toʔ˥ loʔ˩˨
上老当	zɔ̃˨˩˧ lɔ˨˩˧ tɔ̃˥˧
上老當	zɔ̃˨˩˧ lɔ˨˩˧ tɔ̃˥˧
上落	zɔ̃˨˩˧ loʔ˩˨
上落先生	zɔ̃˨˩˧ loʔ˩˨ ɕi˥˧ sã˥˧
上落勿問	zɔ̃˨˩˧ loʔ˩˨ vɐʔ˩˨ məŋ˨˩˧
上落勿问	zɔ̃˨˩˧ loʔ˩˨ vɐʔ˩˨ məŋ˨˩˧
上蕻	zɔ̃˨˩˧ hoŋ˥˧
上資上格	zɔ̃˨˩˧ ʦɿ˥˧ zɔ̃˨˩˧ kɐʔ˥
上资上格	zɔ̃˨˩˧ ʦɿ˥˧ zɔ̃˨˩˧ kɐʔ˥
上路	zɔ̃˨˩˧ lu˨˩˧
上軛	zɔ̃˨˩˧ ɐʔ˥
上轭	zɔ̃˨˩˧ ɐʔ˥
上門女婿	zɔ̃˨˩˧ məŋ˨˦ ȵy˨˩˧ ɕi˦˦
上门女婿	zɔ̃˨˩˧ məŋ˨˦ ȵy˨˩˧ ɕi˦˦
上阶沿	zɔ̃˨˩˧ ka˥˧ ɦi˨˦
上階沿	zɔ̃˨˩˧ ka˥˧ ɦi˨˦
上頂	zɔ̃˨˩˧ təŋ˧˥
上顶	zɔ̃˨˩˧ təŋ˧˥
上點心	zɔ̃˨˩˧ te˥˧ ɕiŋ˥˧
上𪰻	zɔ̃˨˩˧ ʨʰiã˧˥
下	ɦo˨˩˧
下一𪰻	ɦo˨˩˧ iɪʔ˥ ʨʰiã˧˥
下世	ɦo˨˩˧ ɕi˦˦
下两回	ɦo˨˩˧ liã˨˩˧ ɦuɐɪ˨˦
下两网	ɦo˨˩˧ liã˨˩˧ mɔ̃˨˩˧
下两遭	ɦo˨˩˧ liã˨˩˧ ʦɔ˥˧
下作坯子	ɦo˨˩˧ ʦoʔ˥ pʰɐɪ˥˧ ʦɿ˧˥
下作貨	ɦo˨˩˧ ʦoʔ˥ həu˦˦
下作货	ɦo˨˩˧ ʦoʔ˥ həu˦˦
下兩回	ɦo˨˩˧ liã˨˩˧ ɦuɐɪ˨˦
下兩網	ɦo˨˩˧ liã˨˩˧ mɔ̃˨˩˧
下兩遭	ɦo˨˩˧ liã˨˩˧ ʦɔ˥˧
