唾	tʰu˧˦$
啃	kʰən˧˦$
啄	tɔʔ˥$
商	saŋ˥$
啊	a˥$
問	mən˨˦$
啕	daɤ˨˩˧$
啞	ia˧˦$
啟	ʨʰi˧˦$
啡	fi˥$
啤	bi˨˩˧$
啦	la˥$
啬	səʔ˥$
啸	siaɤ˥$
啼	di˨˩˧$
啾	ʦʰiɤɯ˥$
喀	kʰaʔ˥$
喂	uæi˦˨˧$
喃	nɤ˨˩˧$
善	zɤ˨˦$
喇	la˨˦$
喉	ɦei˨˩˧$
喊	hɛ˦˨˧$
喋	diəʔ˨$
喖	ɦu˨˩˧$
喘	ʦʰɤ˧˦$
喚	huɤ˥$
喜	ɕi˧˦$
喝	həʔ˥$
喥	dɔʔ˨$
喧	ɕiɤ˥$
喪	saŋ˧˦$
喬	ʥiaɤ˨˩˧$
單	tɛ˥$
喷	pʰən˥$
喻	ɦy˨˦$
喽	lei˨˩˧$
嗅	hoŋ˦˨˧$
嗆	ʦʰiaŋ˦˨˧$
嗇	səʔ˥$
嗎	ma˥$
嗒	taʔ˥$
嗓	saŋ˧˦$
嗜	zɿ˨˦$
嗡	oŋ˥$
嗣	zɿ˨˦$
嗤	ʦʰɿ˥$
嗦	sɔʔ˥$
嗲	tia˧˦$
嗶	piəʔ˥$
嗷	ŋaɤ˨˩˧$
嗽	sei˦˨˧$
嘀	tiəʔ˥$
嘈	zaɤ˨˩˧$
嘉	ʨia˥$
嘍	lei˨˩˧$
嘔	ei˧˦$
嘗	zaŋ˨˩˧$
嘘	ɕy˥$
嘩	ɦo˨˩˧$
嘮	laɤ˨˩˧$
嘯	siaɤ˥$
嘰	ʨi˥$
嘱	ʦɔʔ˥$
嘲	ʣaɤ˨˩˧$
嘴	ʦuæi˧˦$
嘶	sɿ˥$
嘸	m˧˦$
嘻	ɕi˥$
噎	iəʔ˥$
噓	ɕy˥$
噤	ʨin˦˨˧$
器	ʨʰi˦˨˧$
噩	ŋɔʔ˨$
噱	ɕiɔʔ˥$
噴	pʰən˥$
嚀	ȵin˨˩˧$
嚇	haʔ˥$
嚎	ɦaɤ˨˩˧$
嚏	tʰi˦˨˧$
嚣	ɕiaɤ˥$
嚴	ȵiɪ˨˩˧$
嚷	ȵiaŋ˨˦$
嚼	ziaʔ˨$
囂	ɕiaɤ˥$
囊	naŋ˨˩˧$
囑	ʦɔʔ˥$
囚	ziɤɯ˨˩˧$
四	sɿ˧˦$
囝	nɤ˨˩˧$
回	ɦuæi˨˩˧$
因	in˥$
囡	nɤ˨˩˧$
团	dɤ˨˩˧$
囤	dən˨˩˧$
囥	kʰaŋ˦˨˧$
囪	ʦʰoŋ˥$
囫	ɦuəʔ˨$
园	ɦyɤ˨˩˧$
困	kʰuən˦˨˧$
囱	ʦʰoŋ˥$
围	ɦuæi˨˩˧$
囵	lən˨˩˧$
固	ku˧˦$
国	kɔʔ˥$
图	du˨˩˧$
圃	pʰu˧˦$
圆	ɦyɤ˨˩˧$
圇	lən˨˩˧$
圈	ʥiɤ˨˦$
國	kɔʔ˥$
圍	ɦuæi˨˩˧$
園	ɦyɤ˨˩˧$
圓	ɦyɤ˨˩˧$
圖	du˨˩˧$
團	dɤ˨˩˧$
土	tʰu˧˦$
圣	sən˦˨˧$
在	zæi˨˦$
圩	ɦy˨˩˧$
圭	kuæi˥$
地	di˨˦$
圳	ʦən˦˨˧$
场	ʣaŋ˨˩˧$
址	ʦɿ˧˦$
坂	pɛ˧˦$
均	ʨyən˥$
坊	faŋ˥$
坌	bən˨˩˧$
坍	tʰɛ˥$
坏	ɦua˨˦$
坐	zɤɯ˦˨˧$
块	kʰuæi˦˨˧$
