㪕	ʨʰiɑʔ˥$
喊	hæ̃˥˩$
喘	ʨʰyɯ̃˧˧˦$
喚	hɯ̃˥˩$
喜	ɕi˧˧˦$
喝	hʊʔ˥$
喧	ɕyɯ̃˦˧˧$
喪	sɑŋ˦˧˧$
喬	ʥiɒ˨˨˧$
單	tæ̃˦˧˧$
喷	pʰᴇŋ˦˧˧$
喻	y˥˩$
嗅	ɕiøʏ˥˩$
嗇	səʔ˥$
嗉	su˥˩$
嗓	sɑŋ˧˧˦$
嗜	zɿ˧˩$
嗣	zɿ˧˩$
嗤	ʦʰɿ˦˧˧$
嗦	sʌɤ˦˧˧$
嗽	sʌɤ˥˩$
嘉	ʨiɑ˦˧˧$
嘔	øʏ˧˧˦$
嘗	ʥiæ̃˨˨˧$
嘘	ɕy˦˧˧$
嘮	lɒ˨˨˧$
嘱	ʨyɔʔ˥$
嘴	ʦe˧˧˦$
噇	ʥyɑŋ˨˨˧$
噎	iɪʔ˥$
噓	ɕy˦˧˧$
噦	ʊʔ˥$
器	ʨʰi˥˩$
噴	pʰᴇŋ˦˧˧$
嚇	həʔ˥$
嚣	ɕiɒ˦˧˧$
嚴	ȵiɪ̃˨˨˧$
嚷	ȵiɪ̃˧˧˦$
嚼	ziɑʔ˧˦$
囂	ɕiɒ˦˧˧$
囉	lʌɤ˨˨˧$
囊	nɑŋ˨˨˧$
囑	ʨyɔʔ˥$
囚	ziøʏ˨˨˧$
四	sɿ˥˩$
回	ɦue˨˨˧$
因	iŋ˦˧˧$
团	dɯ̃˨˨˧$
囤	dᴇŋ˧˩$
囥	kʰɑŋ˥˩$
囪	ʦʰoŋ˦˧˧$
园	ɦyɯ̃˨˨˧$
困	kʰuᴇŋ˥˩$
囱	ʦʰoŋ˦˧˧$
围	ɦue˨˨˧$
固	ku˥˩$
国	kɔʔ˥$
图	du˨˨˧$
圆	ɦyɯ̃˨˨˧$
圈	ʥyɯ̃˧˩$
國	kɔʔ˥$
圍	ɦue˨˨˧$
園	ɦyɯ̃˨˨˧$
圓	ɦyɯ̃˨˨˧$
圖	du˨˨˧$
團	dɯ̃˨˨˧$
土	tʰu˧˧˦$
圣	ɕiᴇŋ˥˩$
在	zæ˧˩$
圭	kue˦˧˧$
地	di˧˩$
场	ʥiæ̃˨˨˧$
址	ʦɿ˧˧˦$
均	ʨyŋ˦˧˧$
坍	tʰæ̃˦˧˧$
坎	kʰɯ̃˧˧˦$
坏	ɦuæ˧˩$
坐	zʌɤ˧˩$
坑	kʰᴇŋ˦˧˧$
块	kʰue˥˩$
坚	ʨiɪ̃˦˧˧$
坛	dæ̃˨˨˧$
坝	po˥˩$
坞	u˦˧˧$
坟	vᴇŋ˨˨˧$
坠	ʥye˧˩$
坡	pʰu˦˧˧$
坤	kʰuᴇŋ˦˧˧$
坦	tʰæ̃˧˧˦$
坪	biŋ˨˨˧$
坯	pʰe˦˧˧$
坳	ɒ˦˧˧$
垂	ʥye˨˨˧$
垅	loŋ˧˧˦$
型	ɦiŋ˨˨˧$
垒	le˧˧˦$
垛	dʌɤ˧˩$
垦	kʰᴇŋ˧˧˦$
垫	diɪ̃˧˩$
垮	kʰo˧˧˦$
埂	kᴇŋ˧˧˦$
埃	æ˦˧˧$
埋	mæ˨˨˧$
城	ʥiᴇŋ˨˨˧$
域	ɦyɔʔ˧˦$
埠	bu˧˩$
執	ʨiɘʔ˥$
培	bæ˨˨˧$
基	ʨi˦˧˧$
堂	dɑŋ˨˨˧$
堅	ʨiɪ̃˦˧˧$
堆	te˦˧˧$
堡	pɒ˧˧˦$
堤	di˨˨˧$
堪	kʰɯ̃˦˧˧$
堯	ɦiɒ˨˨˧$
堰	iɪ̃˥˩$
報	pɒ˥˩$
場	ʥiæ̃˨˨˧$
堵	tu˧˧˦$
塊	kʰue˥˩$
塋	ɦioŋ˨˨˧$
塌	tʰɑʔ˥$
塍	ʥiᴇŋ˨˨˧$
塑	su˥˩$
塔	tʰɑʔ˥$
塗	du˨˨˧$
塘	dɑŋ˨˨˧$
塚	ʨioŋ˧˧˦$
塞	səʔ˥$
塢	u˦˧˧$
填	diɪ̃˨˨˧$
塵	ʥiᴇŋ˨˨˧$
境	ʨiŋ˧˧˦$
墊	diɪ̃˧˩$
墓	mʌɤ˧˩$
墙	ziɪ̃˨˨˧$
墜	ʥye˧˩$
增	ʦᴇŋ˦˧˧$
墟	ɕy˦˧˧$
墨	mɔʔ˧˦$
墩	tᴇŋ˦˧˧$
墳	vᴇŋ˨˨˧$
墾	kʰᴇŋ˧˧˦$
壁	piɪʔ˥$
壇	dæ̃˨˨˧$
壓	ɑʔ˥$
壕	ɦɒ˨˨˧$
壘	le˧˧˦$
壞	ɦuæ˧˩$
壟	loŋ˧˧˦$
壤	ȵiɪ̃˧˧˦$
壩	po˥˩$
士	zɿ˧˩$
壬	ʑiᴇŋ˨˨˧$
壮	ʦyɑŋ˥˩$
壯	ʦyɑŋ˥˩$
声	ɕiᴇŋ˦˧˧$
壳	kʰɔʔ˥$
壶	ɦu˨˨˧$
壺	ɦu˨˨˧$
壽	ʑiøʏ˧˩$
处	ʨʰy˧˧˦$
备	be˧˩$
复	fɔʔ˥$
夏	ɦiɑ˧˩$
夕	ziɪʔ˧˦$
外	ŋæ˧˩$
多	tʌɤ˦˧˧$
夜	ɦiɑ˨˨˧$
够	køʏ˥˩$
夠	køʏ˥˩$
夢	moŋ˧˩$
夥	hʌɤ˧˧˦$
大	dæ˧˩$
天	tʰiɪ̃˦˧˧$
太	tʰe˥˩$
夫	fu˦˧˧$
央	iɪ̃˦˧˧$
夯	hɑŋ˦˧˧$
失	ɕiɘʔ˥$
头	døʏ˨˨˧$
夷	ɦi˨˨˧$
夸	kʰo˦˧˧$
夹	kɑʔ˥$
夺	dʊʔ˧˦$
夾	kɑʔ˥$
奇	ʥi˨˨˧$
奈	næ˧˩$
奉	voŋ˧˩$
奋	fᴇŋ˥˩$
奎	kʰue˦˧˧$
奏	ʦʌɤ˥˩$
契	ʨʰi˥˩$
奔	pᴇŋ˦˧˧$
奖	ʦiɪ̃˧˧˦$
套	tʰɒ˥˩$
奚	ɦi˨˨˧$
奠	diɪ̃˧˩$
奢	ɕiɑ˦˧˧$
奥	ɒ˥˩$
奧	ɒ˥˩$
奪	dʊʔ˧˦$
奮	fᴇŋ˥˩$
女	ȵy˧˧˦$
奴	nu˨˨˧$
奶	næ˧˧˦$
奸	kæ̃˦˧˧$
好	hɒ˧˧˦$
如	ʑy˨˨˧$
妃	fi˦˧˧$
妄	vɑŋ˧˩$
妇	vu˧˩$
妈	mɑ˥˩$
妒	tu˥˩$
妓	ʥi˧˩$
妖	iɒ˦˧˧$
妙	miɒ˧˩$
