㞞	zəŋ˧$
强	ʥiᴀ̃˧$
彈	dɛ̃˧$
彎	uɛ̃˥˧˧$
归	kuᴇ˥˧˧$
当	tɔ̃˦˨˦$
形	ɦiŋ˧$
彩	ʦʰᴇ˦˥˨$
彪	piɔ˥˧˧$
彭	bᴀ̃˧$
影	iŋ˦˥˨$
役	ɦyʔ˨˧$
彼	pɛ̃˥˧˧$
往	vɔ̃˨˦˧$
征	ʦẽŋ˥˧˧$
待	dᴇ˨˦˧$
徊	ve˧$
後	ɦiʊ˨˦˧$
徐	ʥi˧$
徒	du˧$
得	teʔ˥$
徘	bᴀ˧$
徛	gᴇ˨˦˧$
從	ʣəŋ˧$
徵	ʦẽŋ˥˧˧$
德	teʔ˥$
徽	fe˥˧˧$
心	ɕiŋ˥˧˧$
必	piʔ˥$
忌	ʥi˩˩˧$
忍	zẽŋ˨˦˧$
忖	ʦʰẽŋ˦˥˨$
忘	mɔ̃˩˩˧$
忙	mɔ̃˧$
忠	ʦəŋ˥˧˧$
忧	iʊ˥˧˧$
快	kʰuᴀ˦˨˦$
念	ȵiɛ̃˩˩˧$
怀	vᴀ˧$
态	tʰᴇ˦˨˦$
怒	nu˩˩˧$
怕	pʰɔ˦˨˦$
怖	pu˦˨˦$
怜	liɛ̃˧$
思	sɿ˥˧˧$
怡	ɦi˧$
急	ʨiʔ˥$
性	ɕiŋ˦˨˦$
怨	yɛ̃˦˨˦$
怪	kuᴀ˦˨˦$
总	ʦəŋ˦˥˨$
恆	ɦẽŋ˧$
恋	liɛ̃˩˩˧$
恒	ɦẽŋ˧$
恨	ɦẽŋ˩˩˧$
